Rk,Player,Pos,"Squad
▲",Age,Born,90s,"SCA
▼",SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA
159,Karima Benameur,GK,Manchester City,30,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Janine Beckie,"DF,FW",Manchester City,24,1994,13,57,4.38,47,3,2,3,1,1,14,1.08,12,0,0,1,1,0
161,Katie Zelem,MF,Manchester Utd,23,1996,12.7,53,4.16,34,14,3,1,1,0,4,0.31,2,1,0,0,1,0
162,Millie Turner,DF,Manchester Utd,23,1996,13.9,13,0.94,11,0,0,2,0,0,1,0.07,1,0,0,0,0,0
163,Amy Turner,DF,Manchester Utd,28,1991,11.9,16,1.35,14,0,0,0,0,2,0,0,0,0,0,0,0,0
164,Ella Toone,"MF,FW",Manchester Utd,19,1999,5.8,17,2.92,14,1,1,1,0,0,4,0.69,4,0,0,0,0,0
165,Kirsty Smith,DF,Manchester Utd,25,1994,7,12,1.71,10,1,0,0,0,1,2,0.28,2,0,0,0,0,0
166,Jessica Sigsworth,"FW,MF",Manchester Utd,24,1994,8,21,2.63,18,0,1,1,0,1,5,0.63,4,0,1,0,0,0
167,Jane Ross,FW,Manchester Utd,29,1989,6.3,12,1.9,10,0,0,0,2,0,2,0.32,1,0,0,0,1,0
168,Lotta Ökvist,DF,Manchester Utd,22,1997,2.1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
169,Abbie McManus,DF,Manchester Utd,26,1993,11,16,1.45,16,0,0,0,0,0,1,0.09,1,0,0,0,0,0
170,Rebecca May,FW,Manchester Utd,17,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Hayley Ladd,MF,Manchester Utd,25,1993,13.7,18,1.32,12,0,0,1,3,2,1,0.07,0,0,0,0,1,0
172,Lauren James,FW,Manchester Utd,17,2001,8.8,39,4.4,21,0,13,3,2,0,3,0.34,0,0,2,0,1,0
173,Martha Harris,DF,Manchester Utd,24,1994,9.3,14,1.51,11,1,1,0,0,1,2,0.22,1,0,0,0,0,1
174,Kirsty Hanson,FW,Manchester Utd,21,1998,5.5,16,2.89,10,0,2,0,2,2,4,0.72,2,0,1,0,1,0
175,Jackie Groenen,MF,Manchester Utd,24,1994,11.4,42,3.69,34,0,1,5,1,1,6,0.53,5,0,0,1,0,0
176,Leah Galton,FW,Manchester Utd,25,1994,11.4,41,3.59,24,1,8,4,4,0,8,0.7,4,0,3,0,1,0
177,Mary Earps,GK,Manchester Utd,26,1993,14,2,0.14,2,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Lizzie Arnot,"FW,MF",Manchester Utd,23,1996,1,3,3.07,2,0,0,0,1,0,0,0,0,0,0,0,0,0
179,Fara Williams,"MF,FW",Reading,35,1984,13.5,48,3.56,23,17,4,4,0,0,7,0.52,2,5,0,0,0,0
180,Rachel Rowe,DF,Reading,26,1992,10.5,26,2.47,19,1,2,2,2,0,2,0.19,1,0,0,1,0,0
181,Jo Potter,DF,Reading,34,1984,7.9,10,1.27,5,3,0,1,1,0,1,0.13,0,0,0,1,0,0
182,Mayumi Pacheco,DF,Reading,20,1998,7.6,11,1.45,6,1,0,0,2,2,3,0.4,2,0,0,0,0,1
183,Jade Moore,MF,Reading,28,1990,13.7,34,2.49,24,1,0,3,4,2,4,0.29,2,0,0,1,1,0
184,Grace Moloney,GK,Reading,26,1993,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Kristine Leine,DF,Reading,23,1996,11,15,1.36,14,0,0,1,0,0,2,0.18,1,0,0,1,0,0
186,Rachael Laws,GK,Reading,28,1990,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Lisa-Marie Karlseng Utland,"FW,MF",Reading,26,1992,4,7,1.77,7,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Angharad James,"MF,DF",Reading,25,1994,12.6,31,2.46,25,1,0,2,2,1,3,0.24,1,0,0,1,1,0
189,Sophie Howard,DF,Reading,25,1993,10.1,9,0.89,9,0,0,0,0,0,1,0.1,1,0,0,0,0,0
190,Rakel Hönnudóttir,FW,Reading,30,1988,0.5,1,1.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Natasha Harding,"DF,FW",Reading,30,1989,6.3,12,1.89,8,1,1,1,1,0,0,0,0,0,0,0,0,0
192,Millie Farrow,FW,Reading,23,1996,3,11,3.67,7,0,3,0,1,0,1,0.33,1,0,0,0,0,0
193,Amalie Eikeland,"FW,MF",Reading,23,1995,12.2,27,2.22,18,0,5,2,2,0,3,0.25,3,0,0,0,0,0
194,Brooke Chaplen,FW,Reading,30,1989,11.1,33,2.96,21,0,7,3,1,1,3,0.27,1,0,1,1,0,0
195,Molly Bartrip,DF,Reading,23,1996,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Remi Allen,MF,Reading,28,1990,12,32,2.67,23,0,0,0,6,3,5,0.42,4,0,0,0,1,0
197,Megan Wynne,"DF,FW",Tottenham,26,1993,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Siri Worm,DF,Tottenham,27,1992,8.1,9,1.11,6,3,0,0,0,0,1,0.12,1,0,0,0,0,0
199,Vencislav Vasilev,GK,Tottenham,31,1988,1.6,1,0.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Rebecca Spencer,GK,Tottenham,28,1991,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Jenna Schillaci,DF,Tottenham,35,1984,3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Lucy Quinn,"MF,FW",Tottenham,25,1993,5.9,15,2.54,10,1,1,1,2,0,1,0.17,1,0,0,0,0,0
203,Ria Percival,"MF,DF",Tottenham,29,1989,14,27,1.93,15,5,1,2,1,3,1,0.07,1,0,0,0,0,0
204,Chloe Peplow,MF,Tottenham,20,1998,9.1,17,1.87,11,3,1,0,0,2,0,0,0,0,0,0,0,0
205,Ashleigh Neville,DF,Tottenham,26,1993,12.1,17,1.4,9,3,1,1,0,3,0,0,0,0,0,0,0,0
206,Emma Mitchell,DF,Tottenham,26,1992,3.5,8,2.29,4,2,0,1,1,0,1,0.29,1,0,0,0,0,0
207,Lucía Marte,"DF,FW",Tottenham,21,1997,1.6,1,0.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0
208,Coral-Jade Haines,MF,Tottenham,23,1996,1.2,1,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
