Rk,Player,Pos,"Squad
▲",Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
72,Loren Dykes,DF,Bristol City,31,1988,9.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
73,Vita van der Linden,MF,Bristol City,22,1997,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
74,Yana Daniels,"MF,FW",Bristol City,27,1992,13,2,14,3,21.4,1.07,0.23,0.14,0.67,18.8,0,0,1,2.1,1.2,0.08,-0.1,0.8
75,Maisy Collis,DF,Bristol City,19,2000,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
76,Olivia Chance,MF,Bristol City,25,1993,11.3,0,10,1,10,0.88,0.09,0,0,23,0,0,0,0.5,0.5,0.05,-0.5,-0.5
77,Faye Bryson,DF,Bristol City,22,1997,2.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
78,Frankie Brown,"MF,DF",Bristol City,31,1987,12.7,0,3,1,33.3,0.24,0.08,0,0,32.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
79,Sophie Baggaley,GK,Bristol City,22,1996,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
80,Flo Allen,DF,Bristol City,19,1999,3,0,1,0,0,0.34,0,0,,5.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1
81,Maria Thorisdottir,MF,Chelsea,26,1993,0.8,1,4,3,75,4.74,3.55,0.25,0.33,21.2,0,0,0,0.2,0.2,0.05,0.8,0.8
82,Carly Telford,GK,Chelsea,32,1987,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
83,Drew Spence,"MF,FW",Chelsea,26,1992,7,3,17,6,35.3,2.42,0.85,0.18,0.5,15.2,0,0,0,1.9,1.9,0.11,1.1,1.1
84,Ji So-yun,MF,Chelsea,28,1991,11.1,6,40,9,22.5,3.6,0.81,0.15,0.67,24,3,0,0,2.1,2.1,0.05,3.9,3.9
85,Guro Reiten,"MF,FW",Chelsea,25,1994,13.4,5,28,10,35.7,2.09,0.75,0.18,0.5,16.5,1,0,0,3.1,3.1,0.11,1.9,1.9
86,Jamie-Lee Napier,"MF,DF",Chelsea,19,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
87,Emily Murphy,"MF,FW",Chelsea,16,2003,0.3,1,2,1,50,6.92,3.46,0.5,1,8.4,0,0,0,0.7,0.7,0.37,0.3,0.3
88,Maren Mjelde,"DF,MF",Chelsea,29,1989,14,4,14,5,35.7,1,0.36,0.21,0.6,17.2,3,1,1,2.9,2.1,0.15,1.1,0.9
89,Fran Kirby,"FW,MF",Chelsea,26,1993,2.2,0,11,6,54.5,5.1,2.78,0,0,13.7,0,0,0,0.7,0.7,0.07,-0.7,-0.7
90,Sam Kerr,FW,Chelsea,25,1993,3.3,1,13,6,46.2,3.98,1.84,0.08,0.17,11.5,0,0,0,2.6,2.6,0.2,-1.6,-1.6
91,Sophie Ingle,MF,Chelsea,27,1991,14,4,12,5,41.7,0.85,0.36,0.33,0.8,12.6,0,0,0,1.8,1.8,0.15,2.2,2.2
92,Magdalena Eriksson,DF,Chelsea,25,1993,14,1,15,4,26.7,1.07,0.29,0.07,0.25,12.2,0,0,0,1.3,1.3,0.08,-0.3,-0.3
93,Adelina Engman,"FW,MF",Chelsea,24,1994,0.9,1,3,1,33.3,3.33,1.11,0.33,1,18.2,0,0,0,0.2,0.2,0.08,0.8,0.8
94,Bethany England,FW,Chelsea,25,1994,14.7,14,75,40,53.3,5.11,2.73,0.19,0.35,12.6,0,0,0,13.8,13.8,0.18,0.2,0.2
95,Erin Cuthbert,"MF,FW",Chelsea,21,1998,11.9,2,28,10,35.7,2.36,0.84,0.07,0.2,17.1,1,0,0,3.2,3.2,0.11,-1.2,-1.2
96,Deanna Cooper,DF,Chelsea,26,1993,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
97,Jess Carter,"DF,MF",Chelsea,21,1997,1.9,1,2,1,50,1.04,0.52,0.5,1,18.5,0,0,0,0.8,0.8,0.41,0.2,0.2
98,Millie Bright,DF,Chelsea,25,1993,15,1,15,3,20,1,0.2,0.07,0.33,11.4,0,0,0,1.6,1.6,0.1,-0.6,-0.6
99,Hannah Blundell,DF,Chelsea,25,1994,4.6,1,7,2,28.6,1.51,0.43,0.14,0.5,13.9,0,0,0,0.6,0.6,0.09,0.4,0.4
100,Ann-Katrin Berger,GK,Chelsea,28,1990,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
