Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
153,Lee Geum-min,"MF,FW",Manchester City,25,1994,0.5,0,0,0,1,1,0,5,2,1,0,0,0,5,1,0,100
154,Matilde Fidalgo,DF,Manchester City,25,1994,0.7,0,0,0,1,0,0,1,2,1,0,0,0,4,1,1,50
155,Laura Coombs,"MF,FW",Manchester City,28,1991,1.2,0,0,0,1,2,0,2,0,2,0,0,0,12,1,0,100
156,Megan Campbell,DF,Manchester City,26,1993,3.7,0,0,0,3,4,0,4,7,3,0,0,0,30,0,2,0
157,Pauline Bremer,FW,Manchester City,23,1996,6.4,0,0,0,4,5,7,1,1,2,0,0,0,17,13,8,61.9
158,Gemma Bonner,DF,Manchester City,28,1991,16,3,0,0,9,3,0,0,18,13,0,0,0,84,23,13,63.9
159,Karima Benameur,GK,Manchester City,30,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
160,Janine Beckie,"DF,FW",Manchester City,24,1994,13,1,0,0,1,10,1,72,7,18,0,0,0,90,6,5,54.5
161,Katie Zelem,MF,Manchester Utd,23,1996,12.7,4,0,0,10,11,0,65,14,15,0,1,0,88,18,11,62.1
162,Millie Turner,DF,Manchester Utd,23,1996,13.9,1,0,0,13,4,1,2,15,8,0,1,0,100,29,14,67.4
163,Amy Turner,DF,Manchester Utd,28,1991,11.9,2,0,0,16,12,1,15,27,11,0,1,0,62,27,12,69.2
164,Ella Toone,"MF,FW",Manchester Utd,19,1999,5.8,2,1,0,7,5,2,11,1,7,0,0,0,42,2,8,20
165,Kirsty Smith,DF,Manchester Utd,25,1994,7,2,0,0,8,1,1,8,7,8,0,0,0,34,13,17,43.3
166,Jessica Sigsworth,"FW,MF",Manchester Utd,24,1994,8,0,0,0,17,8,8,15,9,9,0,0,0,44,18,15,54.5
167,Jane Ross,FW,Manchester Utd,29,1989,6.3,0,0,0,8,5,4,9,0,3,0,0,0,31,14,18,43.8
168,Lotta Ökvist,DF,Manchester Utd,22,1997,2.1,0,0,0,0,1,0,3,1,1,0,0,0,6,0,1,0
169,Abbie McManus,DF,Manchester Utd,26,1993,11,2,0,0,6,1,0,3,16,5,0,0,0,106,10,8,55.6
170,Rebecca May,FW,Manchester Utd,17,2002,0.1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,
171,Hayley Ladd,MF,Manchester Utd,25,1993,13.7,3,0,0,15,24,0,3,22,22,1,0,0,88,25,25,50
172,Lauren James,FW,Manchester Utd,17,2001,8.8,6,1,1,17,19,11,15,4,8,1,0,0,37,15,19,44.1
173,Martha Harris,DF,Manchester Utd,24,1994,9.3,0,0,0,7,1,2,9,12,17,0,0,0,55,13,11,54.2
174,Kirsty Hanson,FW,Manchester Utd,21,1998,5.5,0,0,0,7,8,1,26,4,11,1,0,0,25,2,14,12.5
175,Jackie Groenen,MF,Manchester Utd,24,1994,11.4,0,0,0,10,15,5,11,4,11,0,0,0,74,1,7,12.5
176,Leah Galton,FW,Manchester Utd,25,1994,11.4,0,0,0,12,20,7,51,8,6,1,0,0,44,25,21,54.3
177,Mary Earps,GK,Manchester Utd,26,1993,14,0,0,0,0,2,0,0,0,0,0,0,0,14,4,1,80
