Rk,Player,Pos,"Squad
▲",Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
133,Rachel Furness,MF,Liverpool,31,1988,4,152,148,1,0,1,2,5,1,0,0,0,0,62,3,4
134,Niamh Fahey,DF,Liverpool,31,1987,12.7,500,476,22,18,0,2,1,4,0,0,0,0,375,2,8
135,Jessica Clarke,"FW,MF",Liverpool,30,1989,4,94,89,5,0,1,0,12,3,0,0,0,0,58,0,5
136,Niamh Charles,"FW,MF",Liverpool,20,1999,11.8,312,305,4,0,0,1,22,3,0,0,0,0,205,3,12
137,Sophie Bradley,DF,Liverpool,29,1989,14,562,537,24,17,0,1,1,7,0,0,0,0,398,1,3
138,Jade Bailey,MF,Liverpool,23,1995,12.6,550,504,45,13,0,2,33,0,32,11,5,9,403,1,13
139,Rinsola Babajide,"FW,MF",Liverpool,21,1998,8.2,174,171,3,0,0,1,31,3,0,0,0,0,85,0,15
140,Tessa Wullaert,"FW,MF",Manchester City,26,1993,9.7,411,385,24,3,3,3,34,2,18,7,2,0,299,2,8
141,Ellen White,FW,Manchester City,30,1989,9.5,160,146,10,0,0,0,3,2,0,0,0,0,109,4,2
142,Caroline Weir,MF,Manchester City,24,1995,16,1094,977,111,31,3,8,90,0,80,39,13,12,884,6,10
143,Keira Walsh,MF,Manchester City,22,1997,14,918,894,17,17,9,6,9,0,0,0,0,0,781,7,7
144,Tyler Toland,MF,Manchester City,17,2001,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
145,Demi Stokes,DF,Manchester City,27,1991,12.6,757,602,155,4,0,0,21,151,0,0,0,0,640,0,13
146,Georgia Stanway,"FW,DF",Manchester City,20,1999,9.2,357,307,50,5,0,5,21,24,11,8,0,0,273,0,10
147,Jill Scott,MF,Manchester City,32,1987,14.3,583,575,5,3,1,0,15,2,0,0,0,0,438,3,11
148,Ellie Roebuck,GK,Manchester City,19,1999,16,619,492,124,12,0,0,0,0,0,0,0,0,542,3,1
149,Jessica Park,MF,Manchester City,17,2001,0.2,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
150,Aoife Mannion,DF,Manchester City,23,1995,4,279,216,62,1,0,1,2,61,0,0,0,0,223,1,0
151,Steph Houghton,DF,Manchester City,31,1988,16,1203,1185,16,15,0,19,8,1,0,0,0,0,979,2,7
152,Lauren Hemp,"MF,FW",Manchester City,18,2000,12.6,410,405,2,0,1,2,45,1,1,1,0,0,286,3,7
153,Lee Geum-min,"MF,FW",Manchester City,25,1994,0.5,29,29,0,0,0,0,5,0,0,0,0,0,20,0,0
154,Matilde Fidalgo,DF,Manchester City,25,1994,0.7,43,36,7,0,0,0,1,7,0,0,0,0,30,0,2
155,Laura Coombs,"MF,FW",Manchester City,28,1991,1.2,43,41,0,0,0,0,2,0,0,0,0,0,28,2,1
156,Megan Campbell,DF,Manchester City,26,1993,3.7,234,180,54,3,0,0,4,51,0,0,0,0,175,0,7
157,Pauline Bremer,FW,Manchester City,23,1996,6.4,144,138,4,0,0,0,1,0,0,0,0,0,110,2,5
158,Gemma Bonner,DF,Manchester City,28,1991,16,1104,1090,13,10,0,5,0,3,0,0,0,0,983,1,3
159,Karima Benameur,GK,Manchester City,30,1989,0,3,2,1,1,0,0,0,0,0,0,0,0,2,0,0
160,Janine Beckie,"DF,FW",Manchester City,24,1994,13,767,663,101,6,1,8,72,89,4,3,0,0,593,3,19
161,Katie Zelem,MF,Manchester Utd,23,1996,12.7,705,598,102,43,3,2,65,1,58,18,18,5,489,5,15
162,Millie Turner,DF,Manchester Utd,23,1996,13.9,706,676,30,19,0,1,2,5,0,0,0,0,584,0,8
163,Amy Turner,DF,Manchester Utd,28,1991,11.9,528,399,124,10,0,0,15,114,0,0,0,0,375,5,12
164,Ella Toone,"MF,FW",Manchester Utd,19,1999,5.8,196,185,8,0,1,0,11,2,6,4,2,0,153,3,3
165,Kirsty Smith,DF,Manchester Utd,25,1994,7,375,251,124,3,0,1,8,121,0,0,0,0,256,0,4
166,Jessica Sigsworth,"FW,MF",Manchester Utd,24,1994,8,167,166,0,0,1,0,15,0,0,0,0,0,94,1,11
167,Jane Ross,FW,Manchester Utd,29,1989,6.3,166,157,6,0,0,0,9,0,0,0,0,0,104,3,5
168,Lotta Ökvist,DF,Manchester Utd,22,1997,2.1,35,15,20,3,0,0,3,17,0,0,0,0,19,0,1
169,Abbie McManus,DF,Manchester Utd,26,1993,11,628,599,26,24,0,1,3,2,0,0,0,0,499,3,5
170,Rebecca May,FW,Manchester Utd,17,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Hayley Ladd,MF,Manchester Utd,25,1993,13.7,476,451,20,11,0,1,3,8,0,0,0,0,351,5,4
172,Lauren James,FW,Manchester Utd,17,2001,8.8,179,167,10,1,2,1,15,0,1,0,0,0,122,2,4
173,Martha Harris,DF,Manchester Utd,24,1994,9.3,482,336,146,3,0,1,9,143,0,0,0,0,323,0,8
174,Kirsty Hanson,FW,Manchester Utd,21,1998,5.5,121,117,2,0,0,1,26,2,0,0,0,0,64,2,5
175,Jackie Groenen,MF,Manchester Utd,24,1994,11.4,375,351,20,2,2,3,11,3,4,1,0,0,254,4,15
176,Leah Galton,FW,Manchester Utd,25,1994,11.4,339,328,4,0,2,1,51,3,1,0,0,0,208,7,13
177,Mary Earps,GK,Manchester Utd,26,1993,14,492,354,134,37,0,3,0,0,0,0,0,0,347,4,0
178,Lizzie Arnot,"FW,MF",Manchester Utd,23,1996,1,27,27,0,0,0,0,4,0,0,0,0,0,16,0,1
179,Fara Williams,"MF,FW",Reading,35,1984,13.5,574,419,146,41,3,3,102,3,73,62,2,3,314,9,14
180,Rachel Rowe,DF,Reading,26,1992,10.5,511,371,138,2,0,2,27,136,0,0,0,0,321,2,19
181,Jo Potter,DF,Reading,34,1984,7.9,453,404,49,41,0,9,8,5,3,1,1,0,273,0,9
182,Mayumi Pacheco,DF,Reading,20,1998,7.6,362,253,108,0,0,1,7,108,0,0,0,0,247,1,9
183,Jade Moore,MF,Reading,28,1990,13.7,532,508,21,14,2,3,11,4,0,0,0,0,349,3,13
184,Grace Moloney,GK,Reading,26,1993,9.2,344,246,97,23,0,0,0,0,0,0,0,0,237,1,2
185,Kristine Leine,DF,Reading,23,1996,11,602,538,62,5,0,9,10,57,0,0,0,0,443,2,6
186,Rachael Laws,GK,Reading,28,1990,4.8,229,173,54,18,0,1,0,0,0,0,0,0,146,2,0
187,Lisa-Marie Karlseng Utland,"FW,MF",Reading,26,1992,4,101,100,1,0,0,0,4,1,0,0,0,0,60,0,6
188,Angharad James,"MF,DF",Reading,25,1994,12.6,498,429,65,6,0,2,15,57,2,0,1,1,342,4,14
189,Sophie Howard,DF,Reading,25,1993,10.1,497,473,20,17,0,0,1,3,0,0,0,0,348,4,6
190,Rakel Hönnudóttir,FW,Reading,30,1988,0.5,16,16,0,0,0,0,0,0,0,0,0,0,9,0,0
191,Natasha Harding,"DF,FW",Reading,30,1989,6.3,256,189,66,1,0,0,13,64,0,0,0,0,155,1,6
192,Millie Farrow,FW,Reading,23,1996,3,60,58,2,0,0,0,1,2,0,0,0,0,36,0,1
193,Amalie Eikeland,"FW,MF",Reading,23,1995,12.2,266,257,8,3,1,0,31,5,0,0,0,0,169,1,18
194,Brooke Chaplen,FW,Reading,30,1989,11.1,228,216,10,1,1,0,18,4,1,0,0,0,150,2,6
195,Molly Bartrip,DF,Reading,23,1996,2.7,126,115,10,5,0,2,1,4,1,1,0,0,92,1,2
196,Remi Allen,MF,Reading,28,1990,12,400,387,10,4,0,1,1,4,1,0,0,0,294,3,11
197,Megan Wynne,"DF,FW",Tottenham,26,1993,0.2,11,7,4,0,0,0,0,3,0,0,0,0,7,0,0
